Fechas;Unidad de Valor Adquisitivo (UVA) - en pesos - base 31.3.2016=14.05;
9/30/2016;16.52000000000;
10/1/2016;16.52000000000;
10/2/2016;16.52000000000;
10/3/2016;16.52000000000;
10/4/2016;16.53000000000;
10/5/2016;16.53000000000;
10/6/2016;16.53000000000;
10/7/2016;16.53000000000;
10/8/2016;16.53000000000;
10/9/2016;16.53000000000;
10/10/2016;16.53000000000;
10/11/2016;16.53000000000;
10/12/2016;16.54000000000;
10/13/2016;16.54000000000;
10/14/2016;16.54000000000;
10/15/2016;16.54000000000;
10/16/2016;16.54000000000;
10/17/2016;16.54000000000;
10/18/2016;16.55000000000;
10/19/2016;16.56000000000;
10/20/2016;16.56000000000;
10/21/2016;16.57000000000;
10/22/2016;16.57000000000;
10/23/2016;16.57000000000;
10/24/2016;16.57000000000;
10/25/2016;16.59000000000;
10/26/2016;16.60000000000;
10/27/2016;16.60000000000;
10/28/2016;16.61000000000;
10/29/2016;16.62000000000;
10/30/2016;16.62000000000;
10/31/2016;16.62000000000;
11/1/2016;16.63000000000;
11/2/2016;16.64000000000;
11/3/2016;16.64000000000;
11/4/2016;16.65000000000;
11/5/2016;16.66000000000;
11/6/2016;16.66000000000;
11/7/2016;16.66000000000;
11/8/2016;16.67000000000;
11/9/2016;16.68000000000;
11/10/2016;16.69000000000;
11/11/2016;16.69000000000;
11/12/2016;16.70000000000;
11/13/2016;16.70000000000;
11/14/2016;16.70000000000;
11/15/2016;16.72000000000;
11/16/2016;16.72000000000;
11/17/2016;16.73000000000;
11/18/2016;16.75000000000;
11/19/2016;16.76000000000;
11/20/2016;16.76000000000;
11/21/2016;16.76000000000;
11/22/2016;16.80000000000;
11/23/2016;16.82000000000;
11/24/2016;16.83000000000;
11/25/2016;16.84000000000;
11/26/2016;16.86000000000;
11/27/2016;16.86000000000;
11/28/2016;16.86000000000;
11/29/2016;16.86000000000;
11/30/2016;16.91000000000;
12/1/2016;16.92000000000;
12/2/2016;16.94000000000;
12/3/2016;16.95000000000;
12/4/2016;16.95000000000;
12/5/2016;16.95000000000;
12/6/2016;16.99000000000;
12/7/2016;17.00000000000;
12/8/2016;17.02000000000;
12/9/2016;17.02000000000;
12/10/2016;17.02000000000;
12/11/2016;17.02000000000;
12/12/2016;17.02000000000;
12/13/2016;17.09000000000;
12/14/2016;17.10000000000;
12/15/2016;17.11000000000;
12/16/2016;17.13000000000;
12/17/2016;17.14000000000;
12/18/2016;17.14000000000;
12/19/2016;17.14000000000;
12/20/2016;17.16000000000;
12/21/2016;17.17000000000;
12/22/2016;17.18000000000;
12/23/2016;17.19000000000;
12/24/2016;17.20000000000;
12/25/2016;17.20000000000;
12/26/2016;17.20000000000;
12/27/2016;17.22000000000;
12/28/2016;17.23000000000;
12/29/2016;17.24000000000;
12/30/2016;17.25000000000;
12/31/2016;17.26000000000;
1/1/2017;17.26000000000;
1/2/2017;17.26000000000;
1/3/2017;17.29000000000;
1/4/2017;17.29000000000;
1/5/2017;17.30000000000;
1/6/2017;17.31000000000;
1/7/2017;17.32000000000;
1/8/2017;17.32000000000;
1/9/2017;17.32000000000;
1/10/2017;17.35000000000;
1/11/2017;17.36000000000;
1/12/2017;17.36000000000;
1/13/2017;17.37000000000;
1/14/2017;17.38000000000;
1/15/2017;17.38000000000;
1/16/2017;17.38000000000;
1/17/2017;17.41000000000;
1/18/2017;17.41000000000;
1/19/2017;17.42000000000;
1/20/2017;17.43000000000;
1/21/2017;17.43000000000;
1/22/2017;17.43000000000;
1/23/2017;17.43000000000;
1/24/2017;17.45000000000;
1/25/2017;17.46000000000;
1/26/2017;17.47000000000;
1/27/2017;17.47000000000;
1/28/2017;17.48000000000;
1/29/2017;17.48000000000;
1/30/2017;17.48000000000;
1/31/2017;17.50000000000;
2/1/2017;17.51000000000;
2/2/2017;17.51000000000;
2/3/2017;17.52000000000;
2/4/2017;17.53000000000;
2/5/2017;17.53000000000;
2/6/2017;17.53000000000;
2/7/2017;17.55000000000;
2/8/2017;17.56000000000;
2/9/2017;17.56000000000;
2/10/2017;17.57000000000;
2/11/2017;17.58000000000;
2/12/2017;17.58000000000;
2/13/2017;17.58000000000;
2/14/2017;17.60000000000;
2/15/2017;17.60000000000;
2/16/2017;17.61000000000;
2/17/2017;17.62000000000;
2/18/2017;17.63000000000;
2/19/2017;17.63000000000;
2/20/2017;17.63000000000;
2/21/2017;17.65000000000;
2/22/2017;17.66000000000;
2/23/2017;17.67000000000;
2/24/2017;17.67000000000;
2/25/2017;17.68000000000;
2/26/2017;17.68000000000;
2/27/2017;17.68000000000;
2/28/2017;17.68000000000;
3/1/2017;17.68000000000;
3/2/2017;17.72000000000;
3/3/2017;17.73000000000;
3/4/2017;17.74000000000;
3/5/2017;17.74000000000;
3/6/2017;17.74000000000;
3/7/2017;17.76000000000;
3/8/2017;17.77000000000;
3/9/2017;17.78000000000;
3/10/2017;17.79000000000;
3/11/2017;17.80000000000;
3/12/2017;17.80000000000;
3/13/2017;17.80000000000;
3/14/2017;17.82000000000;
3/15/2017;17.83000000000;
3/16/2017;17.84000000000;
3/17/2017;17.85000000000;
3/18/2017;17.87000000000;
3/19/2017;17.87000000000;
3/20/2017;17.87000000000;
3/21/2017;17.91000000000;
3/22/2017;17.92000000000;
3/23/2017;17.94000000000;
3/24/2017;17.95000000000;
3/25/2017;17.95000000000;
3/26/2017;17.95000000000;
3/27/2017;17.95000000000;
3/28/2017;18.01000000000;
3/29/2017;18.02000000000;
3/30/2017;18.04000000000;
3/31/2017;18.05000000000;
4/1/2017;18.07000000000;
4/2/2017;18.07000000000;
4/3/2017;18.07000000000;
4/4/2017;18.11000000000;
4/5/2017;18.13000000000;
4/6/2017;18.14000000000;
4/7/2017;18.16000000000;
4/8/2017;18.17000000000;
4/9/2017;18.17000000000;
4/10/2017;18.17000000000;
4/11/2017;18.22000000000;
4/12/2017;18.23000000000;
4/13/2017;18.24000000000;
4/14/2017;18.24000000000;
4/15/2017;18.24000000000;
4/16/2017;18.24000000000;
4/17/2017;18.24000000000;
4/18/2017;18.32000000000;
4/19/2017;18.33000000000;
4/20/2017;18.35000000000;
4/21/2017;18.36000000000;
4/22/2017;18.38000000000;
4/23/2017;18.38000000000;
4/24/2017;18.38000000000;
4/25/2017;18.42000000000;
4/26/2017;18.43000000000;
4/27/2017;18.45000000000;
4/28/2017;18.46000000000;
4/29/2017;18.48000000000;
4/30/2017;18.48000000000;
5/1/2017;18.48000000000;
5/2/2017;18.48000000000;
5/3/2017;18.54000000000;
5/4/2017;18.55000000000;
5/5/2017;18.56000000000;
5/6/2017;18.58000000000;
5/7/2017;18.58000000000;
5/8/2017;18.58000000000;
5/9/2017;18.62000000000;
5/10/2017;18.64000000000;
5/11/2017;18.65000000000;
5/12/2017;18.67000000000;
5/13/2017;18.68000000000;
5/14/2017;18.68000000000;
5/15/2017;18.68000000000;
5/16/2017;18.73000000000;
5/17/2017;18.74000000000;
5/18/2017;18.76000000000;
5/19/2017;18.77000000000;
5/20/2017;18.79000000000;
5/21/2017;18.79000000000;
5/22/2017;18.79000000000;
5/23/2017;18.83000000000;
5/24/2017;18.85000000000;
5/25/2017;18.87000000000;
5/26/2017;18.87000000000;
5/27/2017;18.90000000000;
5/28/2017;18.90000000000;
5/29/2017;18.90000000000;
5/30/2017;18.94000000000;
5/31/2017;18.96000000000;
6/1/2017;18.97000000000;
6/2/2017;18.99000000000;
6/3/2017;19.00000000000;
6/4/2017;19.00000000000;
6/5/2017;19.00000000000;
6/6/2017;19.05000000000;
6/7/2017;19.07000000000;
6/8/2017;19.08000000000;
